Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,polio(deaths/1000),Total expenditure,Diphtheria (deaths/1000), HIV/AIDS(impact),GDP,Population, thinness  10-19 years, thinness 5-9 years,Income composition of resources,Schooling,COVID ,Life expectancy ,,,,
United States of America,2021,Developed,19,11,8.30,5241.30,91.70,324,70.80,27,88,19.00,94.00,0.1,65031.00,327954612,0.75,0.57,0.88,15.80,181.26,77.10,,,,
United States of America,2020,Developed,20,19,8.20,5210.20,91.50,410,70.60,29,89,18.50,95.00,0.1,64012.00,328010321,0.76,0.54,0.90,16.00,178.20,77.50,,,,
United States of America,2019,Developed,17,13,8.10,5123.20,91.00,310,68.30,21,90,17.50,90.00,0.1,65298.00,329064917,0.77,0.56,0.93,16.20,1.00,78.87,,,,
United States of America,2018,Developed,15,17,8.20,5323.64,89.50,264,70.10,28,91,16.90,96.00,0.1,62996.00,327096265,0.81,0.59,0.91,16.60,1.00,78.81,,,,
United States of America,2017,Developed,13,21,8.47,5200.64,90.00,215,69.10,23,92,17.03,91.00,0.1,60062.00,327096266,0.78,0.58,0.92,16.50,2.00,78.84,,,,
United States of America,2016,Developed,12,22,8.60,5077.64,91.00,210,69.40,24,94,17.16,96.00,0.1,57952.00,327096267,0.80,0.60,0.90,16.00,1.00,78.86,,,,
United States of America,2015,Developed,13,23,8.50,4954.64,92.00,188,69.60,26,93,17.02,95.00,0.1,56839.00,327096268,0.80,0.60,0.90,16.30,1.00,78.89,,,,
United States of America,2014,Developed,14,23,8.82,4831.64,92.00,667,69.10,27,93,17.14,95.00,0.1,55065.00,327096269,0.80,0.60,0.89,16.30,1.00,78.91,,,,
United States of America,2013,Developed,16,23,8.82,4830.19,91.00,187,68.60,27,93,16.90,94.00,0.1,53118.00,327096270,0.70,0.60,0.88,16.30,1.00,78.94,,,,
United States of America,2012,Developed,16,24,8.82,4793.90,90.00,55,68.00,28,93,17.20,94.00,0.1,51611.00,327096271,0.70,0.60,0.88,16.10,2.00,78.79,,,,
